,card_name,card_rarity,card_number,market_price,median_price
6739,Double Dragon Energy,Uncommon,97,2.64,3.27
6740,Dragonair,Uncommon,50,0.18,0.25
6741,Dragonite (51),Rare,51,0.51,0.50
6742,Dragonite (52 Delta),Holo Rare,52,3.05,
6743,Dratini,Common,49,0.13,0.25
6744,Dunsparce,Common,68,0.15,0.25
6745,Dustox (7),Uncommon,7,0.09,0.25
6746,Dustox (8 - Delta),Rare,8,0.25,0.31
6747,Electrike,Common,24,0.08,0.20
6748,Electrode,Uncommon,22,0.14,0.25
6749,Energy Switch,Secret Rare,109,9.06,
6750,Exeggcute,Common,1,0.11,0.22
6751,Exeggutor,Uncommon,2,0.16,0.25
6752,Fearow,Uncommon,66,0.15,0.25
6753,Fletchinder,Uncommon,14,0.10,0.25
6754,Fletchling,Common,82,0.07,0.20
6755,Gallade EX,Ultra Rare,34,2.09,
6756,Gallade EX (99 Full Art),Ultra Rare,99,5.42,
6757,Gallade Spirit Link,Uncommon,83,0.12,0.25
6758,Gligar,Common,36,0.09,0.21
6759,Gliscor,Uncommon,37,0.11,0.25
6760,Hawlucha,Common,39,0.12,0.19
6761,Healing Scarf,Uncommon,84,0.18,0.25
6762,Hydreigon EX,Ultra Rare,62,2.07,
6763,Hydreigon EX (103 Full Art),Ultra Rare,103,8.98,
6764,Inkay,Common,41,0.13,0.20
6765,Jirachi,Holo Rare,42,2.40,
6766,Klefki,Rare,48,0.13,0.32
6767,Latios EX,Ultra Rare,58,2.31,
6768,Latios EX (101 Full Art),Ultra Rare,101,7.74,
6769,Latios Spirit Link,Uncommon,85,0.14,0.25
6770,M Gallade EX,Ultra Rare,35,3.35,
6771,M Gallade EX (100 Full Art),Ultra Rare,100,6.96,
6772,M Latios EX,Ultra Rare,59,5.10,
6773,M Latios EX (102 Full Art),Ultra Rare,102,9.74,
6774,M Rayquaza EX (105 Full Art),Ultra Rare,105,37.48,
6775,M Rayquaza EX (61),Ultra Rare,61,24.47,
6776,M Rayquaza EX (76),Ultra Rare,76,9.63,
6777,Manectric,Uncommon,25,0.11,0.25
6778,Mega Turbo,Uncommon,86,0.18,0.25
6779,Meowth,Common,67,0.14,0.25
6780,Natu (27),Common,27,0.07,0.25
6781,Natu (28 - Delta),Common,28,0.13,0.25
6782,Nincada,Common,9,0.08,0.25
6783,Ninjask,Uncommon,10,0.11,0.25
6784,Pelipper,Uncommon,19,0.10,0.25
6785,Pidove,Common,78,0.10,0.25
6786,Pikachu,Common,20,0.42,0.44
6787,Rayquaza EX (104 Full Art),Ultra Rare,104,27.58,
6788,Rayquaza EX (60),Ultra Rare,60,5.07,
6789,Rayquaza EX (75),Ultra Rare,75,4.90,
6790,Rayquaza Spirit Link,Uncommon,87,0.12,0.25
6791,Reshiram,Holo Rare,63,0.55,
6792,Revive,Uncommon,88,0.13,0.25
6793,Salamence,Holo Rare,57,0.93,
6794,Shaymin EX,Ultra Rare,77,7.07,
6795,Shaymin EX (106 Full Art),Ultra Rare,106,10.44,
6796,Shedinja,Rare,11,0.24,0.33
6797,Shelgon,Uncommon,56,0.11,0.26
6798,Shuppet,Common,30,0.12,0.25
6799,Silcoon,Uncommon,4,0.09,0.25
6800,Skarmory,Rare,69,0.20,0.35
6801,Sky Field,Uncommon,89,0.93,0.93
6802,Spearow,Common,65,0.10,0.25
6803,Steven,Uncommon,90,0.34,0.34
6804,Swablu,Common,73,0.08,0.25
6805,Swellow (71),Rare,71,0.21,0.32
6806,Swellow (72 Delta),Holo Rare,72,0.46,
6807,Switch,Uncommon,91,0.18,0.25
6808,Taillow,Common,70,0.07,0.25
6809,Talonflame,Rare,15,0.23,0.34
6810,Thundurus EX,Ultra Rare,26,1.94,
6811,Thundurus EX (98 Full Art),Ultra Rare,98,4.29,
6812,Togekiss (45),Rare,45,0.35,0.49
6813,Togekiss (46 Delta),Holo Rare,46,0.97,
6814,Togepi,Common,43,0.18,0.25
6815,Togetic,Uncommon,44,0.18,0.25
6816,Trainers' Mail,Uncommon,92,0.50,0.51
6817,Tranquill,Uncommon,79,0.09,0.25
6818,Tropius,Uncommon,12,0.09,0.25
6819,Ultra Ball,Uncommon,93,0.25,0.29
6820,Unfezant (80),Uncommon,80,0.09,0.25
6821,Unfezant (81 Delta),Rare,81,0.19,0.35
6822,Victini,Rare,13,0.18,0.35
6823,Voltorb,Common,21,0.10,0.20
6824,VS Seeker,Secret Rare,110,21.62,
6825,Wally,Uncommon,94,0.21,0.25
6826,Wally (107 Full Art),Ultra Rare,107,14.49,
6827,Wide Lens,Uncommon,95,0.10,0.25
6828,Wingull,Common,18,0.10,0.20
6829,Winona,Uncommon,96,0.20,0.25
6830,Winona (108 Full Art),Ultra Rare,108,19.78,
6831,Wurmple,Common,3,0.08,0.25
6832,Xatu,Rare,29,0.19,0.34
6833,Zapdos,Rare,23,0.38,0.49
6834,Zekrom,Holo Rare,64,0.49,
6835,Acro Bike (#20 Latias),Uncommon,20,0.50,1.23
6836,Acro Bike (#20 Latios),Uncommon,20,0.55,0.53
6837,Acro Bike (#29 Latias),Uncommon,29,0.59,0.76
6838,Delcatty (#19),Common,19,0.20,0.50
6839,Delcatty (#24),Common,24,,0.51
6840,Fighting Energy (#10),Common,10,,
6841,Fighting Energy (#17),Common,17,,0.23
6842,Fighting Energy (#2),Common,2,,5.76
6843,Fighting Energy (#3),Common,3,,0.25
6844,Fighting Energy (#5),Common,5,0.20,0.23
6845,Fighting Energy (#6),Common,6,,0.25
6846,Fighting Energy (#7),Common,7,,0.25
6847,Fighting Energy (#8),Common,8,,0.23
6848,Fighting Energy (#9),Common,9,,0.23
6849,Fletchling,Common,4,0.15,
6850,Grass Energy (#1),Common,1,,
6851,Grass Energy (#19),Common,19,,0.39
6852,Grass Energy (#2),Common,2,,0.39
6853,Grass Energy (#3),Common,3,,0.39
6854,Grass Energy (#5),Common,5,,0.44
6855,Grovyle (#18),Common,18,0.10,0.56
6856,Grovyle (#27),Common,27,,0.20
6857,Latias (#14 Non-Holo),Common,14,0.46,0.59
6858,Latias (#30 Holo),Common,14,0.60,
6859,Latios (#13 Non-Holo),Common,13,0.47,0.49
6860,Latios (#30 Holo),Common,30,0.51,
6861,Lombre (#21),Common,21,0.20,0.28
6862,Lombre (#6),Common,6,0.20,0.49
6863,Lotad (#11),Common,11,0.33,0.33
6864,Lotad (#23),Common,23,0.21,0.99
6865,Machoke (#14),Common,14,,0.20
6866,Machoke (#22),Common,22,0.30,0.47
6867,Machop (#11),Common,11,,0.30
6868,Machop (#28),Common,28,0.05,0.05
6869,Potion (Latias),Common,15,0.20,0.20
6870,Potion (Latios),Common,21,0.24,
6871,Psychic Energy (#10 - Latias),Common,10,,0.25
6872,Psychic Energy (#16 - Latios),Common,16,,0.25
6873,Psychic Energy (#17 - Latias),Common,17,,0.25
6874,Psychic Energy (#18 - Latios),Common,18,,0.10
6875,Psychic Energy (#22 - Latias),Common,22,,0.35
6876,Psychic Energy (#28 - Latias),Common,28,,0.47
6877,Psychic Energy (#29 - Latios),Common,29,,0.39
6878,Psychic Energy (#8 - Latias),Common,8,,0.25
6879,Psychic Energy (#9 - Latias),Common,9,,0.25
6880,Rhydon (#25),Common,25,,
6881,Rhydon (#4),Common,4,,
6882,Rhyhorn (#15),Common,15,0.26,0.28
6883,Rhyhorn (#23),Common,23,0.62,0.81
6884,Skitty (#1),Common,1,1.20,
6885,Skitty (#27),Common,27,0.25,
6886,Solrock (#12),Common,12,,0.34
6887,Solrock (#26),Common,26,,0.10
6888,Surskit,Common,16,,0.50
6889,Tangela (#13),Common,13,0.25,0.86
6890,Tangela (#26),Common,26,0.45,0.65
6891,Tangrowth (#12),Common,12,0.50,1.08
6892,Tangrowth (#25),Common,25,0.23,0.19
6893,Treecko (#24),Common,24,0.05,0.28
6894,Treecko (#7),Common,7,0.47,0.61
6895,______'s Oshawott,Promo,N/A,10.00,
6896,______'s Snivy,Promo,N/A,,
6897,______'s Tepig,Promo,N/A,,
6898,Alakazam - 1/12 (Box Topper),Holo Rare,1/12,,
6899,Alakazam V - SWSH083,Promo,SWSH083,1.40,
6900,Alolan Marowak GX - SM187 (SM Black Star Promo),Promo,SM187,4.28,
6901,Alolan Raichu SM65 - (SM Black Star Promo),Promo,SM65,4.62,
6902,Alolan Sandslash GX - SM236 (SM Black Star Promo),Promo,SM236,3.35,
6903,Arcanine - XY180 (XY Black Star Promos),Promo,XY180,10.32,
6904,Arceus - DP50 (DP Black Star Promos),Promo,DP50,,
6905,"Articuno, Moltres and Zapdos (Warner Bros. Promo)",Promo,--,149.99,
6906,Ash-Greninja EX - XY133 (XY Black Star Promos),Promo,XY133,7.87,
6907,Aurorus EX - XY102 (XY Black Star Promos),Promo,XY102,7.99,
6908,Bewear GX - SM34 (Black Star Promos),Promo,SM34,2.42,
6909,Blastoise GX - SM189 (Black Star Promos),Promo,SM189,4.97,
6910,Blastoise VMAX - SWSH103,Promo,SWSH103,11.31,
6911,Buzzwole GX - SM69 (SM Black Star Promos),Promo,SM69,8.74,
6912,Charizard - 4 (CoroCoro Promo),Promo,4,,
6913,Charizard - 9/12 (Box Topper),Promo,9/12,,
6914,Charizard - S1/S4 (Box Topper),Promo,S1/S4,,
6915,Charizard & Braixen GX - SM230 (SM Black Star Promo),Promo,SM230,8.24,
6916,Charizard EX - 11 (Flashfire),Promo,11,7.20,
6917,Charizard EX - XY121 (XY Black Star Promos),Promo,XY121,26.49,
6918,Charizard EX - XY17 (XY Black Star Promos),Promo,XY17,13.31,
6919,Charizard GX - SM195 (SM Black Star Promo),Promo,SM195,8.68,
6920,Charizard GX - SM211  (SM Black Star Promo),Promo,SM211,5.62,
6921,Charizard GX - SM60 (SM Black Star Promos),Promo,SM60,15.46,
6922,Cinderace V - SWSH015,Promo,SWSH015,4.24,
6923,Combusken - 9 (Nintendo Black Star Promo),Promo,9,,
6924,Copperajah V - SWSH030,Promo,SWSH030,1.06,
6925,Crobat - 10/12 (Box Topper),Promo,10/12,,
6926,Crobat VMAX - SWSH099,Promo,SWSH099,3.82,
6927,Dark Blastoise - S2/S4 (Box Topper),Promo,S2/S4,,
6928,Dark Ivysaur - 6 (Best of Game 6 Promo),Promo,6,,
6929,Dark Raichu - S3/S4 (Box Topper),Promo,S3/S4,,
6930,Dark Venusaur - 7 (Best of Game 7 Promo),Promo,7,,
6931,Darkrai - BW73 (BW Black Star Promos),Promo,BW73,0.25,
6932,Darkrai & Cresselia Legend - 99+100 (Single Oversized Promo),Promo,99/102 + 100/102,28.31,
6933,Darkrai (DP Black Star Promos),Promo,DP24,,
6934,Darkrai GX - 88a (Burning Shadows),Promo,88a,2.91,
6935,Dawn Wings Necrozma GX - 63 (Ultra Prism),Promo,63,4.69,
6936,Decidueye GX - SM37 (SM Black Star Promo),Promo,SM37,3.65,
6937,Deoxys EX - 53/116 (Plasma Freeze),Holo Rare,53/116,6.00,
6938,Dialga - DP26 (DP Black Star Promo),Promo,DP26,,
6939,Diancie - XY44 (XY Black Star Promo),Promo,XY44,,
6940,Dragapult VMAX - SWSH097,Promo,SWSH097,4.89,
6941,Dragonite EX - 72/108,Ultra Rare,72,3.67,
6942,Dragonite EX - 74/111 (Furious Fists),Promo,74,3.67,
6943,Dubwool V - SWSH049,Promo,SWSH049,0.82,
6944,Dusk Mane Necrozma GX - 90/156 (Ultra Prism),Promo,90/156,4.86,
6945,Eevee GX - SM174 (SM Black Star Promo),Promo,SM174,,
6946,Eevee GX - SM175 (SM Black Star Promo),Promo,SM175,,
6947,Eevee GX - SM176 (SM Black Star Promo),Promo,SM176,,
6948,Electabuzz - 1 (Best of Game 1 Promo),Promo,1,,
6949,Empoleon BREAK - XY134 (XY Black Star Promos),Promo,XY134,9.95,
6950,Entei - 5/12 (Box Topper),Promo,5/12,,
6951,Espeon - 6/12 (Box Topper),Promo,6/12,,
6952,Espeon & Deoxys GX Oversized - SM240 (SM Black Star Promo),Promo,SM240,4.37,
6953,Espeon GX - SM35 (SM Black Star Promos),Promo,SM35,6.46,
6954,Eternatus VMAX - SWSH045,Promo,SWSH045,5.38,
6955,Feraligatr - 2/12 (Box Topper),Promo,2/12,15.00,
6956,Flareon GX - SM171 (SM Black Star Promo),Promo,SM171,7.99,
6957,Flygon EX - XY61 (XY Black Star Promo),Promo,XY61,2.47,
6958,Galarian Rapidash V - SWSH111,Promo,SWSH111,,
6959,Galarian Sirfetch'd V - SWSH043,Promo,SWSH043,1.41,
6960,Gallade EX - XY45 (XY Black Star Promo),Promo,XY45,2.16,
6961,Garchomp EX - XY09 (XY Black Star Promo),Promo,XY09,8.00,
6962,Gengar EX - 34/119 (Phantom Forces),Promo,34/119,3.00,
6963,Greninja GX - SM197 (SM Black Star Promo),Promo,SM197,5.89,
6964,Grimmsnarl V - SWSH057,Promo,SWSH057,4.84,
6965,Groudon - XY52 (XY Black Star Promo),Promo,XY52,10.00,
6966,Guzzlord GX - 63a (Crimson Invasion),Promo,63a,7.52,
6967,Gyarados BREAK - 27/122 (XY Black Star Promo),Promo,27/122,,
6968,Gyarados GX - SM212 (SM Black Star Promo),Promo,SM212,2.28,
6969,Hatterene V - SWSH055,Promo,SWSH055,0.89,
6970,Hitmonchan - 2 (Best of Game 2 Promo),Promo,2,,
6971,Ho-Oh - 11/12 (Box Topper),Promo,11/12,,
6972,Ho-Oh BREAK - XY154 (XY Black Star Promo),Promo,XY154,9.11,
6973,Ho-Oh GX - SM80 (SM Black Star Promo),Promo,SM80,10.43,
6974,Hoopa EX - 36/98 (Ancient Origins),Promo,36/98,7.20,
6975,Incineroar GX - 27/149 (Sun & Moon Expansion set),Ultra Rare,27,7.11,
6976,Incineroar GX - SM38 (SM Black Star Promo),Promo,SM38,5.34,
6977,Inteleon V - SWSH016,Promo,SWSH016,2.65,
6978,Jolteon GX - SM173 (SM Black Star Promo),Promo,SM173,9.99,
6979,Kabutops - 12/12 (Box Topper),Promo,12/12,,
6980,Kangaskhan EX - 78 (Flashfire),Promo,78,3.75,
6981,Kangaskhan GX - SM188 (SM Black Star Promo),Promo,SM188,2.68,
6982,Keldeo EX - 49/99 (Boundaries Crossed),Promo,49/99,35.64,
6983,Kingdra EX - 73 (Fates Collide),Promo,73,5.58,
6984,Kommo-o GX - SM71 (SM Black Star Promo),Promo,SM71,5.50,
6985,Krookodile - XY25 (XY Black Star Promo),Promo,XY25,7.13,
6986,Kyogre - XY51 (XY Black Star Promo),Promo,XY51,2.75,
6987,Lucario GX - SM100 (SM Black Star Promo),Promo,SM100,8.85,
6988,Lunala GX - 66 (Sun & Moon Expansion Set),Promo,66,2.31,
6989,Lunala GX - SM103 (SM Black Star Promo),Promo,SM103,4.99,
6990,Lycanroc GX - SM14 (SM Black Star Promo),Promo,SM14,4.36,
6991,M Absol EX - XY63 (XY Black Star Promos),Promo,XY63,3.74,
6992,M Aerodactyl EX - XY98 (XY Black Star Promos),Promo,XY98,10.95,
6993,M Beedrill EX - XY158 (XY Black Star Promos),Promo,XY158,9.95,
6994,M Blaziken EX - XY86 (XY Black Star Promos),Promo,XY86,11.00,
6995,M Camerupt EX - XY198 (XY Black Star Promos),Promo,XY198,,
6996,M Charizard EX - 13/106 (Flashfire - Form Y),Promo,13/106,32.33,
6997,M Charizard EX - 69/106 (Flashfire - Form X),Promo,69/106,20.00,
6998,M Garchomp EX - XY168 (XY Black Star Promo),Promo,XY168,13.24,
6999,M Lucario EX - 55a (Furious Fists),Promo,55a,9.07,
7000,M Mawile EX - XY104 (XY Black Star Promo),Promo,XY104,9.95,
7001,M Metagross EX - XY35 (XY Black Star Promo),Promo,XY35,10.09,
7002,M Mewtwo EX - 63/162 BREAKthrough,Promo,63/162,20.00,
7003,M Mewtwo EX - 64/162 BREAKthrough,Promo,64/162,,
7004,M Rayquaza EX - 98/98 (Ancient Origins),Secret Rare,98/98,25.32,
7005,M Sharpedo EX - XY200 (XY Black Star Promo),Promo,XY200,4.00,
7006,M Swampert EX - XY87 (XY Black Star Promo),Promo,XY87,8.00,
7007,M Tyranitar EX - 43 (Ancient Origins),Promo,43,4.93,
7008,Magikarp & Wailord GX - SM166 (SM Black Star Promo),Promo,SM166,9.41,9.95
7009,Marshadow GX - 80 (Burning Shadows),Promo,80,4.65,
7010,Melmetal GX - SM178 (SM Black Star Promo),Promo,SM178,6.49,
7011,Meowth VMAX - SWSH005 (Sword and Shield Promos),Promo,SWSH005,2.43,
7012,Metal Energy - 94/109 (EX Ruby & Sapphire),Promo,94/109,,
7013,Mewtwo - S4/S4 (Box Topper),Promo,S4/S4,,
7014,Mewtwo EX - 52/108,Ultra Rare,52/108,3.41,
7015,Mewtwo EX - 54/99 (Next Destinies),Promo,54/99,29.99,
7016,Mewtwo EX - 61/162 BREAKthrough,Promo,61,12.21,
7017,Mewtwo EX - XY183 (XY Black Star Promo),Promo,XY183,4.74,
7018,Mewtwo GX - SM196 (SM Black Star Promo),Promo,SM196,4.33,
7019,Multi Energy - 93/100 (EX Sandstorm),Promo,93/100,,
7020,Oran Berry - 85/109 (EX Ruby & Sapphire),Promo,85/109,,
7021,Orbeetle V - SWSH078,Promo,SWSH078,1.04,
7022,Palkia - DP27 (DP Black Star Promo),Promo,DP27,,
7023,Palkia & Dialga Legends - 101+102 (Single Oversized Promo),Promo,101/102 + 102/102,25.00,
7024,Pheromosa GX - SM66 (SM Black Star Promo),Promo,SM66,7.09,
7025,Pikachu - 58/102 (Base Set 58/102),Promo,58/102,14.85,
7026,Pikachu EX - XY124 (XY Black Star Promo),Promo,XY124,50.00,
7027,Pikachu EX - XY174 (XY Black Star Promo),Promo,XY174,,
7028,Pikachu GX - SM232 (SM Black Star Promo),Promo,SM232,3.91,
7029,Pikachu V - SWSH061,Promo,SWSH061,2.07,
7030,Polteageist V - SWSH021,Promo,SWSH021,2.51,
7031,Porygon-Z GX - SM216 (SM Black Star Promo),Promo,SM216,1.97,
7032,Primal Groudon EX - 86/160 (Primal Clash),Holo Rare,86/160,10.46,
7033,Primal Groudon EX - 97/98 (Ancient Origins),Secret Rare,97/98,22.00,
7034,Primal Kyogre - 55/160 (Primal Clash),Holo Rare,55/160,14.99,
7035,Primal Kyogre EX - 96/98 (Ancient Origins),Secret Rare,96/98,,
7036,Primarina GX - SM39 (SM Black Star Promo),Promo,SM39,3.83,
7037,Raichu GX - SM213 (SM Black Star Promo),Promo,SM213,1.26,
7038,Raichu GX - SM90 (SM Black Star Promo),Promo,SM90,2.84,
7039,"Raikou, Entei & Suicune (Legends of Johto Promo)",Promo,N/A,11.24,
7040,Rapid Strike Urshifu V - SWSH107,Promo,SWSH107,3.99,
7041,Rayquaza EX - XY66 (XY Black Star Promo),Promo,XY66,8.18,
7042,Rayquaza EX - XY69 (XY Black Star Promo),Promo,XY69,13.56,
7043,Rayquaza GX - 177a (Celestial Storm Promo),Promo,SM177a,20.43,
7044,Regigigas - DP40 (DP Black Star Promo),Promo,DP40,,
7045,Reshiram & Charizard GX - SM201 (SM Black Star Promo),Promo,SM201,13.30,
7046,"Reshiram, Zekrom & Kyurem (Legends of Unova Promo)",Promo,N/A,20.00,
7047,Rillaboom V - SWSH014,Promo,SWSH014,4.16,
7048,Rocket’s Mewtwo - 14/132 (Gym Challenge 14),Promo,14/132,,
7049,Rocket's Hitmonchan - 11/132 (Gym Heroes 11),Promo,11/132,,
7050,Rocket's Scizor - 4 (Best of Game 4),Promo,4,,
7051,Rocket's Sneasel - 5 (Best of Game 5 Promo),Promo,5,,16.90
7052,Salamence - XY171 (XY Black Star Promo),Promo,XY171,10.00,
7053,Salamence GX - SM139 (SM Black Star Promo),Promo,SM139,11.48,
7054,Scizor - 7/12 (Box Topper),Promo,7/12,,
7055,Scizor EX BREAKpoint - 76/122,Promo,76,4.43,
7056,Shadow Lugia (Nintendo World Promo),Promo,N/A,,
7057,Silvally GX - 90/111 (Crimson Invasion),Promo,90/111,1.75,
7058,Silvally GX - SM91 (SM Black Star Promo),Promo,SM91,3.05,
7059,Single Strike Urshifu V - SWSH106,Promo,SWSH106,4.20,
7060,Snorlax GX - SM05 (SM Black Star Promo),Promo,SM05,4.68,7.00
7061,Solgaleo GX - 89 (Sun & Moon Expansion),Promo,89,3.33,
7062,Solgaleo GX - SM104 (SM Black Star Promo),Promo,SM104,2.58,
7063,Suicune - 7/12 (Box Topper),Promo,7/12,,
7064,Tapu Fini GX - 39a (Yellow A Alternate Cards),Promo,39a,5.00,
7065,Tapu Koko GX - 47 (Guardians Rising),Promo,47,2.06,
7066,Tapu Koko GX - SM50 (SM Black Star Promo),Promo,SM50,2.25,
7067,Tapu Lele GX - 60a (Yellow A Alternate Cards),Promo,60a,7.89,
7068,"Tornadus, Thundurus & Landorus (Forces of Nature Promo)",Promo,,12.85,
7069,Toxtricity V - SWSH017 (Sword and Shield Promo),Promo,SWSH017,2.68,
7070,Trevenant & Dusknoir GX - SM217 (SM Black Star Promo),Promo,SM217,4.26,
7071,Tsareena GX - SM56 (SM Black Star Promo),Promo,SM56,4.41,
7072,Tyranitar - 3/12 (Box Topper),Promo,3/12,,
7073,Tyrantrum EX - XY70 (XY Black Star Promo),Promo,XY70,7.05,
7074,Ultra Necrozma - SM126 (SM Black Star Promo),Promo,SM126,2.99,
7075,Umbreon & Darkrai GX Oversized - SM241 (SM Black Star Promo),Promo,SM241,2.82,
7076,Umbreon GX - SM36 (SM Black Star Promo),Promo,SM36,9.05,
7077,Vaporeon GX - SM172 (SM Black Star Promo),Promo,SM172,16.52,
7078,Venusaur - 4/12 (Box Topper),Promo,4/12,,
7079,Venusaur EX - XY123,Promo,XY123,,
7080,Venusaur VMAX - SWSH102,Promo,SWSH102,9.16,
7081,Victini - 15/101 (Noble Victories),Promo,15/101,,
7082,Volcanion - 26/114 (Steam Siege),Promo,26/114,,
7083,White Kyurem GX - SM141 (SM Black Star Promo),Promo,SM141,5.00,
7084,Xerneas - XY05 (XY Black Star Promo),Promo,XY05,,
7085,Yveltal - XY06 (XY Black Star Promo),Promo,XY06,,
7086,Zacian V - 138/202 (Sword and Shield Promo),Promo,138/202,3.71,
7087,Zamazenta V - 139/202 (Sword and Shield Promo),Promo,139/202,3.49,
7088,Zoroark and Legendary Pokemon (World of Illusions Promo),Promo,,99.99,
7089,Zoroark BW - BW19 (BW Black Star Promo),Promo,BW19,,
7090,Zoroark GX - SM84 (SM Black Star Promo),Promo,SM84,4.08,
7091,Zorua and Celebi (Black and White Tour Promo),Promo,,,
7092,Zygarde EX - 54/124 (Fates Collide),Promo,54/124,,
7093,Zygarde GX - SM122 (SM Black Star Promo),Promo,SM122,22.50,
7094,Aqua Diffuser,Uncommon,23,0.29,0.49
7095,Double Aqua Energy,Uncommon,33,0.30,0.50
7096,Double Magma Energy,Uncommon,34,0.27,0.42
7097,Magma Pointer,Uncommon,24,0.27,0.47
7098,Team Aqua Admin,Uncommon,25,0.29,0.49
7099,Team Aqua Grunt,Uncommon,26,0.34,0.50
7100,Team Aqua's Carvanha,Common,20,0.27,0.30
7101,Team Aqua's Great Ball,Uncommon,27,0.40,0.52
7102,Team Aqua's Grimer,Common,7,0.42,0.75
7103,Team Aqua's Kyogre EX,Ultra Rare,6,68.19,
7104,Team Aqua's Mightyena,Common,18,0.52,0.75
7105,Team Aqua's Muk,Holo Rare,8,0.79,
7106,Team Aqua's Poochyena,Common,16,0.29,0.44
7107,Team Aqua's Sealeo,Common,4,0.28,0.44
7108,Team Aqua's Secret Base,Uncommon,28,0.48,0.80
7109,Team Aqua's Seviper,Common,9,0.28,0.47
7110,Team Aqua's Sharpedo,Holo Rare,21,0.69,
7111,Team Aqua's Spheal,Common,3,0.31,0.40
7112,Team Aqua's Walrein,Holo Rare,5,0.63,
7113,Team Magma Admin,Uncommon,29,0.26,0.38
7114,Team Magma Grunt,Uncommon,30,0.29,0.50
7115,Team Magma's Aggron,Holo Rare,14,0.81,
7116,Team Magma's Aron,Common,12,0.27,0.30
7117,Team Magma's Baltoy,Common,10,0.26,0.33
7118,Team Magma's Camerupt,Holo Rare,2,0.71,
7119,Team Magma's Claydol,Holo Rare,11,0.57,
7120,Team Magma's Great Ball,Uncommon,31,0.36,0.47
7121,Team Magma's Groudon EX,Ultra Rare,15,60.42,
7122,Team Magma's Lairon,Common,13,0.28,0.33
7123,Team Magma's Mightyena,Common,19,0.31,0.56
7124,Team Magma's Numel,Common,1,0.64,0.59
7125,Team Magma's Poochyena,Common,17,0.30,0.44
7126,Team Magma's Secret Base,Uncommon,32,1.76,1.95
7127,Team Magma's Zangoose,Common,22,0.30,0.47
7128,Acro Bike,Uncommon,122,0.47,0.57
7129,Aegislash,Holo Rare,100,0.60,
7130,Aggron EX,Ultra Rare,93,3.29,
7131,Aggron EX (153 Full Art),Ultra Rare,153,12.46,
7132,Aggron Spirit Link,Uncommon,123,0.12,0.25
7133,Archie's Ace in the Hole,Uncommon,124,0.23,0.26
7134,Archie's Ace in the Hole (157 Full Art),Ultra Rare,157,11.77,
7135,Azumarill,Rare,103,0.26,0.35
7136,Azumarill (Alpha),Holo Rare,104,0.95,
7137,Barboach,Common,39,0.10,0.25
7138,Beedrill,Rare,3,0.31,0.47
7139,Bibarel,Uncommon,118,0.12,0.25
7140,Bidoof,Common,116,0.11,0.25
7141,Bidoof (Alpha),Uncommon,117,0.25,0.29
7142,Blaziken,Holo Rare,28,1.17,
7143,Bouffalant,Uncommon,119,0.08,0.29
7144,Breloom,Rare,16,0.18,0.38
7145,Bunnelby,Common,120,0.11,0.24
7146,Bunnelby (Omega),Uncommon,121,0.23,0.30
7147,Camerupt EX,Ultra Rare,29,1.48,
7148,Camerupt EX (146 Full Art),Ultra Rare,146,4.98,
7149,Chinchou,Common,57,0.10,0.25
7150,Clamperl,Common,49,0.12,0.25
7151,Combusken,Uncommon,27,0.18,0.27
7152,Corphish,Common,42,0.12,0.25
7153,Crawdaunt,Holo Rare,92,0.61,
7154,Delcatty,Rare,114,0.19,0.37
7155,Diggersby,Rare,90,0.24,0.33
7156,Dive Ball,Uncommon,125,2.12,2.12
7157,Dive Ball (161 Secret Rare),Secret Rare,161,13.12,
7158,Doublade,Uncommon,99,0.20,0.27
7159,Drilbur,Common,89,0.12,0.25
7160,Eelektrik,Uncommon,63,0.15,0.25
7161,Eelektrik (Alpha),Rare,64,0.18,0.36
7162,Eelektross,Holo Rare,65,0.53,
7163,Electrike,Common,59,0.08,0.25
7164,Electrike (Omega),Uncommon,60,0.17,0.29
7165,Energy Retrieval,Uncommon,126,0.23,0.25
7166,Enhanced Hammer (162 Secret Rare),Secret Rare,162,6.54,
7167,Escape Rope,Uncommon,127,0.18,0.29
7168,Excadrill,Rare,96,0.24,0.40
7169,Excadrill (Omega),Holo Rare,97,1.00,
7170,Exp. Share,Uncommon,128,0.18,0.26
7171,Feebas,Common,43,0.10,0.25
7172,Flygon,Holo Rare,110,0.57,
7173,Fresh Water Set,Uncommon,129,0.17,0.25
7174,Gardevoir EX,Ultra Rare,105,2.24,
7175,Gardevoir EX (155 Full Art),Ultra Rare,155,7.66,
7176,Gardevoir Spirit Link,Uncommon,130,0.12,0.25
7177,Gorebyss,Uncommon,51,0.10,0.25
7178,Gorebyss (Alpha),Rare,52,0.25,0.39
7179,Groudon,Rare,84,0.39,0.52
7180,Groudon EX,Ultra Rare,85,4.40,
7181,Groudon EX (150 Full Art),Ultra Rare,150,23.68,
7182,Groudon Spirit Link,Uncommon,131,0.15,0.25
7183,Grovyle,Uncommon,7,0.18,0.30
7184,Hippopotas,Common,87,0.14,0.25
7185,Hippowdon,Holo Rare,88,0.60,
7186,Honedge,Common,98,0.15,0.25
7187,Horsea,Common,30,0.14,0.25
7188,Huntail,Holo Rare,50,0.89,
7189,Illumise,Common,18,0.14,0.25
7190,Kakuna,Uncommon,2,0.12,0.25
7191,Kingdra,Rare,107,0.32,0.50
